matchid,hometeamname,awayteamname,teamid,teamname,ishometeam,isawayteam,statsid,statsname,value,rank
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,127,Tackles lost,6,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,128,Tackles performed gaining the ball,1,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,129,Tackles performed not gaining the ball,4,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,130,Tackles suffered,10,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,131,Tackles suffered losing the ball,5,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,132,Tackles suffered not losing the ball,5,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,133,Lost balls,86,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,136,Lost balls own half,43,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,137,Lost balls opposite half,42,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,138,Change of possession,180,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,140,Blocks,2,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,141,Throw-in,35,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,142,Goals conceded from open play,3,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,143,Goals conceded from set pieces,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,144,Goals conceded in penalty area,3,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,145,Goals conceded outside penalty area,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,146,Saves in open play,4,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,147,Saves on set pieces,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,148,Saves on direct free kick,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,149,Saves on indirect free kick,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,150,Saves on penalty,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,151,Saves on corner,0,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,152,Saves in open play from centre,6,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,153,Saves in open play from left,0,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,154,Saves in open play from right,0,2
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,155,Punches,6,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,156,High Claims,3,1
2024442,Austria,North Macedonia,59205,North Macedonia,false,true,157,Low Claims,0,1
