Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,CityVenue,CountryVenue,VenueNeutrality,HomeTeamLabel,AwayTeamLabel
2012-06-16,Greece,Russia,1.0,0.0,2,82,10,1,12,26
2012-06-15,Ukraine,France,0.0,2.0,0,22,18,0,33,10
2012-06-15,Sweden,England,2.0,3.0,0,41,18,1,30,8
2012-06-14,Italy,Croatia,1.0,1.0,1,66,10,1,15,4
2012-06-14,Spain,Republic of Ireland,4.0,0.0,2,30,10,1,29,24
2012-06-13,Denmark,Portugal,2.0,3.0,0,50,18,1,7,23
2012-06-13,Netherlands,Germany,1.0,2.0,0,39,18,1,17,12
2012-06-12,Poland,Russia,1.0,1.0,1,82,10,0,20,26
2012-06-12,Greece,Czech Republic,1.0,2.0,0,83,10,1,12,5
2012-06-11,Ukraine,Sweden,2.0,1.0,2,41,18,0,33,32
2012-06-11,France,England,1.0,1.0,1,22,18,1,10,8
2012-06-10,Spain,Italy,1.0,1.0,1,30,10,1,29,16
2012-06-10,Republic of Ireland,Croatia,1.0,3.0,0,66,10,1,22,4
2012-06-09,Netherlands,Denmark,0.0,1.0,0,39,18,1,17,7
2012-06-09,Germany,Portugal,1.0,0.0,2,50,18,1,11,23
2012-06-08,Russia,Czech Republic,4.0,1.0,2,83,10,1,24,5
2012-06-08,Poland,Greece,1.0,1.0,1,82,10,0,20,13
2008-06-29,Germany,Spain,0.0,1.0,0,80,0,1,11,31
2008-06-26,Russia,Spain,0.0,3.0,0,80,0,1,24,31
2008-06-25,Germany,Turkey,3.0,2.0,2,6,17,1,11,34
2008-06-22,Spain,Italy,0.0,0.0,1,80,0,1,29,16
2008-06-21,Netherlands,Russia,1.0,3.0,0,6,17,1,17,26
2008-06-20,Croatia,Turkey,1.0,1.0,1,80,0,1,4,34
2008-06-19,Portugal,Germany,2.0,3.0,0,6,17,1,21,12
2008-06-18,Greece,Spain,1.0,2.0,0,72,0,1,12,31
2008-06-18,Russia,Sweden,2.0,0.0,2,38,0,1,24,32
2008-06-17,France,Italy,0.0,2.0,0,85,17,1,10,16
2008-06-17,Netherlands,Romania,2.0,0.0,2,9,17,1,17,25
2008-06-16,Poland,Croatia,0.0,1.0,0,40,0,1,20,4
2008-06-16,Austria,Germany,0.0,1.0,0,80,0,0,1,12
2008-06-15,Switzerland,Portugal,2.0,0.0,2,6,17,0,31,23
2008-06-15,Turkey,Czech Republic,3.0,2.0,2,32,17,1,32,5
2008-06-14,Sweden,Spain,1.0,2.0,0,38,0,1,30,31
2008-06-14,Greece,Russia,0.0,1.0,0,72,0,1,12,26
2008-06-13,Italy,Romania,1.0,1.0,1,85,17,1,15,25
2008-06-13,Netherlands,France,4.0,1.0,2,9,17,1,17,10
2008-06-12,Croatia,Germany,2.0,1.0,2,40,0,1,4,12
2008-06-12,Austria,Poland,1.0,1.0,1,80,0,0,1,22
2008-06-11,Switzerland,Turkey,1.0,2.0,0,6,17,0,31,34
2008-06-11,Czech Republic,Portugal,1.0,3.0,0,32,17,1,5,23
2008-06-10,Greece,Sweden,0.0,2.0,0,72,0,1,12,32
2008-06-10,Spain,Russia,4.0,1.0,2,38,0,1,29,26
2008-06-09,Romania,France,0.0,0.0,1,85,17,1,23,10
2008-06-09,Netherlands,Italy,3.0,0.0,2,9,17,1,17,16
2008-06-08,Germany,Poland,2.0,0.0,2,40,0,1,11,22
2008-06-08,Austria,Croatia,0.0,1.0,0,80,0,0,1,4
2008-06-07,Portugal,Turkey,2.0,0.0,2,32,17,1,21,34
2008-06-07,Switzerland,Czech Republic,0.0,1.0,0,6,17,0,31,5
2004-07-04,Portugal,Greece,0.0,1.0,0,46,11,0,21,13
2004-07-01,Greece,Czech Republic,1.0,0.0,2,65,11,1,12,5
2004-06-30,Portugal,Netherlands,2.0,1.0,2,46,11,0,21,18
2004-06-27,Czech Republic,Denmark,3.0,0.0,2,65,11,1,5,7
2004-06-26,Sweden,Netherlands,0.0,0.0,1,26,11,1,30,18
2004-06-25,France,Greece,0.0,1.0,0,46,11,1,10,13
2004-06-24,Portugal,England,2.0,2.0,1,46,11,0,21,8
2004-06-23,Netherlands,Latvia,3.0,0.0,2,12,11,1,17,17
2004-06-23,Germany,Czech Republic,1.0,2.0,0,46,11,1,11,5
2004-06-22,Italy,Bulgaria,2.0,1.0,2,35,11,1,15,3
2004-06-22,Denmark,Sweden,2.0,2.0,1,65,11,1,7,32
2004-06-21,Switzerland,France,1.0,3.0,0,19,11,1,31,10
2004-06-21,Croatia,England,2.0,4.0,0,46,11,1,4,8
2004-06-20,Portugal,Spain,1.0,0.0,2,46,11,0,21,31
2004-06-20,Russia,Greece,2.0,1.0,2,26,11,1,24,13
2004-06-19,Latvia,Germany,0.0,0.0,1,65,11,1,16,12
2004-06-19,Netherlands,Czech Republic,2.0,3.0,0,3,11,1,17,5
2004-06-18,Bulgaria,Denmark,0.0,2.0,0,12,11,1,3,7
2004-06-18,Italy,Sweden,1.0,1.0,1,65,11,1,15,32
2004-06-17,England,Switzerland,3.0,0.0,2,19,11,1,8,33
2004-06-17,Croatia,France,2.0,2.0,1,44,11,1,4,10
2004-06-16,Portugal,Russia,2.0,0.0,2,46,11,0,21,26
2004-06-16,Greece,Spain,1.0,1.0,1,65,11,1,12,31
2004-06-15,Czech Republic,Latvia,2.0,1.0,2,3,11,1,5,17
2004-06-15,Germany,Netherlands,1.0,1.0,1,65,11,1,11,18
2004-06-14,Denmark,Italy,0.0,0.0,1,35,11,1,7,16
2004-06-14,Sweden,Bulgaria,5.0,0.0,2,46,11,1,30,3
2004-06-13,France,England,2.0,1.0,2,46,11,1,10,8
2004-06-13,Switzerland,Croatia,0.0,0.0,1,44,11,1,31,4
2004-06-12,Spain,Russia,1.0,0.0,2,26,11,1,29,26
2004-06-12,Portugal,Greece,1.0,2.0,0,65,11,0,21,13
2000-07-02,France,Italy,2.0,1.0,2,68,9,1,10,16
2000-06-29,Netherlands,Italy,0.0,0.0,1,0,9,0,17,16
2000-06-28,France,Portugal,2.0,1.0,2,14,2,1,10,23
2000-06-25,Netherlands,Serbia,6.0,1.0,2,68,9,0,17,28
2000-06-25,Spain,France,1.0,2.0,0,13,2,1,29,10
2000-06-24,Italy,Romania,2.0,0.0,2,14,2,1,15,25
2000-06-24,Turkey,Portugal,0.0,2.0,0,0,9,1,32,23
2000-06-21,Serbia,Spain,3.0,4.0,0,13,2,1,26,31
2000-06-21,Slovenia,Norway,0.0,0.0,1,2,9,1,28,21
2000-06-21,Denmark,Czech Republic,0.0,2.0,0,48,2,1,7,5
2000-06-21,Netherlands,France,3.0,2.0,2,0,9,0,17,10
2000-06-20,Portugal,Germany,3.0,0.0,2,68,9,1,21,12
2000-06-20,England,Romania,2.0,3.0,0,18,2,1,8,25
2000-06-19,Italy,Sweden,2.0,1.0,2,25,9,1,15,32
2000-06-19,Belgium,Turkey,0.0,2.0,0,14,2,0,2,34
2000-06-18,Slovenia,Spain,1.0,2.0,0,0,9,1,28,31
2000-06-18,Norway,Serbia,0.0,1.0,0,48,2,1,19,28
2000-06-17,Romania,Portugal,0.0,1.0,0,2,9,1,23,23
2000-06-17,England,Germany,1.0,0.0,2,18,2,1,8,12
2000-06-16,Netherlands,Denmark,3.0,0.0,2,68,9,0,17,7
2000-06-16,Czech Republic,France,1.0,2.0,0,13,2,1,5,10
2000-06-15,Sweden,Turkey,0.0,0.0,1,25,9,1,30,34
2000-06-14,Belgium,Italy,0.0,2.0,0,14,2,0,2,16
2000-06-13,Spain,Norway,0.0,1.0,0,68,9,1,29,21
2000-06-13,Serbia,Slovenia,3.0,3.0,1,18,2,1,26,30
2000-06-12,Portugal,England,3.0,2.0,2,25,9,1,21,8
2000-06-12,Germany,Romania,1.0,1.0,1,48,2,1,11,25
2000-06-11,Netherlands,Czech Republic,1.0,0.0,2,0,9,0,17,5
2000-06-11,Turkey,Italy,1.0,2.0,0,2,9,1,32,16
2000-06-11,France,Denmark,3.0,0.0,2,13,2,1,10,7
2000-06-10,Belgium,Sweden,2.0,1.0,2,14,2,0,2,32
1996-06-30,Czech Republic,Germany,1.0,2.0,0,49,4,1,5,12
1996-06-26,England,Germany,1.0,1.0,1,49,4,0,8,12
