match_id,team,formation,opposing_team_formation,shot,pass,under_pressure,score,counterpress,formation_play_duration,formation_play_duration_ratio,shot_mean,pass_mean,under_pressure_mean,counterpress_mean,home_or_away,goals
3817882,Chennaiyin,352,433,5,191,138,1,25,0 days 01:36:28.026000,1.0,5.0,191.0,138.0,25.0,0,3
3817882,Chennaiyin,352,442,0,3,7,0,1,0 days 01:36:28.026000,1.0,0.0,3.0,7.0,1.0,0,3
3817882,East Bengal,343,352,16,272,177,1,21,0 days 00:40:30.604000,2.3813118056252685,38.100988890004295,647.716811130073,421.4921895956725,50.00754791813064,1,3
3817882,East Bengal,433,352,9,166,138,1,24,0 days 00:27:15.113000,3.539832415252034,31.85849173726831,587.6121809318377,488.4968733047807,84.95597796604882,1,3
3817882,East Bengal,442,352,1,8,5,0,1,0 days 00:28:42.309000,3.3606199584395133,3.3606199584395133,26.884959667516107,16.803099792197568,3.3606199584395133,1,3
3817883,Bengaluru,433,4231,11,431,301,3,68,0 days 01:39:03.210000,1.0,11.0,431.0,301.0,68.0,1,4
3817883,Jamshedpur,4231,433,13,301,309,1,52,0 days 01:05:45.529000,1.5063151227630058,19.582096595919076,453.4008519516648,465.4513729337688,78.3283863836763,0,4
3817884,ATK Mohun Bagan,4231,4231,17,444,302,2,52,0 days 01:40:43.353000,1.0,17.0,444.0,302.0,52.0,0,3
3817884,Hyderabad,4231,4231,15,403,258,1,50,0 days 01:40:43.353000,1.0,15.0,403.0,258.0,50.0,1,3
3817885,East Bengal,4231,433,0,7,11,0,2,0 days 00:49:07.993000,1.9698845960624738,0.0,13.789192172437316,21.668730556687212,3.9397691921249476,0,1
3817885,East Bengal,442,433,13,362,281,0,45,0 days 00:47:39.213000,2.031050502358516,26.40365653066071,735.2402818537828,570.725191162743,91.39727260613323,0,1
3817885,Mumbai City,433,4231,0,9,6,0,3,0 days 01:36:47.206000,1.0,0.0,9.0,6.0,3.0,1,1
3817885,Mumbai City,433,442,12,449,321,1,53,0 days 01:36:47.206000,1.0,12.0,449.0,321.0,53.0,1,1
3817886,Kerala Blasters,442,433,16,414,309,2,59,0 days 01:39:46.887000,1.0,16.0,414.0,309.0,59.0,1,3
3817886,NorthEast United,433,442,11,374,307,1,46,0 days 01:39:46.887000,1.0,11.0,374.0,307.0,46.0,0,3
3817887,Hyderabad,4231,4231,14,360,318,2,57,0 days 01:39:22.737000,1.0,14.0,360.0,318.0,57.0,1,3
3817887,Mumbai City,4231,4231,16,540,403,1,58,0 days 01:39:22.737000,1.0,16.0,540.0,403.0,58.0,0,3
3817888,ATK Mohun Bagan,4231,442,31,627,368,3,53,0 days 01:14:40.844000,1.3232415589563036,41.02048832764541,829.6724574656023,486.9528936959197,70.13180262468408,1,4
3817888,East Bengal,442,4231,13,254,250,1,50,0 days 01:38:49.239000,1.0,13.0,254.0,250.0,50.0,0,4
3817889,ATK Mohun Bagan,41212,4141,8,645,314,1,62,0 days 00:48:31.857000,2.022344160444692,16.178753283557537,1304.4119834868263,635.0160663796333,125.38533794757092,0,1
3817889,ATK Mohun Bagan,4231,4141,0,0,4,0,0,0 days 00:23:44.006000,4.135359682473248,0.0,0.0,16.54143872989299,0.0,0,1
3817889,Chennaiyin,4141,41212,16,463,284,0,51,0 days 01:38:08.777000,1.0,16.0,463.0,284.0,51.0,1,1
3817889,Chennaiyin,4141,4231,0,4,2,0,0,0 days 01:38:08.777000,1.0,0.0,4.0,2.0,0.0,1,1
3817890,Goa,3412,4231,25,523,282,1,50,0 days 01:37:44.534000,1.0,25.0,523.0,282.0,50.0,1,2
3817890,NorthEast United,4231,3412,11,254,307,1,44,0 days 01:37:44.534000,1.0,11.0,254.0,307.0,44.0,0,2
3817891,Bengaluru,433,442,8,546,508,1,71,0 days 01:39:20.117000,1.0,8.0,546.0,508.0,71.0,0,1
3817891,East Bengal,442,433,17,340,374,0,79,0 days 01:39:20.117000,1.0,17.0,340.0,374.0,79.0,1,1
3817892,ATK Mohun Bagan,4231,4231,17,528,321,1,54,0 days 01:40:44.305000,1.0,17.0,528.0,321.0,54.0,0,2
3817892,Odisha,4231,4231,13,332,331,1,50,0 days 01:40:44.305000,1.0,13.0,332.0,331.0,50.0,1,2
3817893,East Bengal,442,4231,18,448,256,1,55,0 days 01:00:04.803000,1.6234515450636275,29.222127811145295,727.3062921885052,415.60359553628865,89.28983497849951,1,2
3817893,NorthEast United,4231,442,10,417,399,1,32,0 days 01:37:32.223000,1.0,10.0,417.0,399.0,32.0,0,2
