matchid,hometeamname,awayteamname,teamid,teamname,ishometeam,isawayteam,statsid,statsname,value,rank,Location
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,87,Passes attempted short,117.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,88,Passes attempted medium,174.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,89,Passes attempted long,62.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,90,Passes completed short,78.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,91,Passes completed medium,144.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,92,Passes completed long,32.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,93,Passes received,255.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,94,Passes received short,78.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,95,Passes received medium,144.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,96,Passes received long,32.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,97,Passes accuracy short,0.667,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,98,Passes accuracy medium,0.828,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,99,Passes accuracy long,0.516,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,102,Passes completed forward,76.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,103,Passes completed backward,44.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,104,Passes completed left,65.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,105,Passes completed right,69.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,106,Passes per instance of possession,1.783,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,107,Delivery into attacking third,23.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,108,Delivery into key play area,9.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,109,Delivery into penalty area,2.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,110,Delivery into goal area,0.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,115,Solo run into attacking third,7.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,116,Solo run into key play area,3.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,117,Solo run into penalty area,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,118,Total Attacks,21.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,119,Attacks from centre,3.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,120,Attacks from right,4.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,121,Attacks from left,14.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,122,Organized attack,9.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,123,Counter attack,0.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,124,Clearances successful,13.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,125,Clearances unsuccesful,2.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,126,Tackles,10.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,127,Tackles lost,6.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,128,Tackles performed gaining the ball,1.0,2,Away
